label,trades,gross,fees,net,win_rate,avg_win,avg_loss,rr,pf,dd,avg_bars,combo
Baseline,129,32.9152705136199,12.9,20.015270513619903,35.65891472868217,1.3507351202800386,0.3933000985191586,3.434362527153654,1.9033816415550373,4.445100220515085,7.635658914728682,
Trend:sma20,128,34.57246020878861,12.8,21.772460208788612,35.9375,1.3507351202800386,0.38307878422989855,3.5259982434041994,1.9779990145925996,3.441642857842111,7.6796875,
Trend:sma50,104,29.532837360718702,10.4,19.132837360718703,36.53846153846153,1.361105096858133,0.37777956218533604,3.602908238297932,2.0744017129594154,3.061032713822838,7.663461538461538,
Trend:ema20,128,32.15355192508963,12.8,19.35355192508963,35.15625,1.3507602952760638,0.38415172646239804,3.516215605003354,1.9063819545198903,4.7217053081167615,7.6796875,
Trend:slope,56,24.01529846549343,5.6000000000000005,18.41529846549343,35.714285714285715,1.909391498806264,0.4395628746789292,4.34384159535981,2.41324533075545,3.302635357574784,10.25,
Vol:high,94,17.64353137804889,9.4,8.24353137804889,35.1063829787234,1.0848173621414112,0.31139015674128473,3.4837882272647445,1.8846723196678128,3.0812488639195856,7.808510638297872,
Vol:low,11,14.822811523099816,1.1,13.722811523099816,54.54545454545454,2.9818203613727565,0.7370005112512584,4.045886421856489,4.855063706227786,3.2840861879188012,10.090909090909092,
Vol:expanding,110,21.20959428904702,11.0,10.209594289047018,36.36363636363637,1.098255119273928,0.3438648253681614,3.19385711550483,1.8250612088599028,4.445100220515097,7.6,
Session:Asia 00-08,45,14.77636427731008,4.5,10.27636427731008,31.11111111111111,1.8327064499570034,0.36099305395772807,5.076846853046684,2.2927695465372118,2.8084650986854567,7.711111111111111,
Session:Europe 08-14,33,5.087373482623974,3.3000000000000003,1.7873734826239738,39.39393939393939,1.0182228178220127,0.40847814168305413,2.4927228997532773,1.6202698848396304,1.5783898757386308,5.666666666666667,
Session:US 14-21,62,12.913265632703869,6.2,6.713265632703869,40.32258064516129,1.1468093362548533,0.43877312134806873,2.613672717078573,1.765995079107144,3.7433902982727467,7.161290322580645,
Session:Late 21-23,11,5.252672518737214,1.1,4.152672518737214,45.45454545454545,1.3732659300423358,0.2798150260434917,4.90776335159674,4.089802792997283,0.5521291798074657,13.545454545454545,
Session:Prime 12-20,66,11.302293435753384,6.6000000000000005,4.702293435753384,39.39393939393939,1.0865468800248435,0.4319177696386525,2.5156336608560035,1.6351618795564022,3.412605965208409,6.7727272727272725,
Session:US Open 14-18,48,11.088497727744596,4.800000000000001,6.288497727744595,43.75,1.1321004495187277,0.48232026679962864,2.3471965153582044,1.8255972897230477,3.743390298272753,7.875,
BB:lower_half,1,-1.2314478702384832,0.1,-1.3314478702384833,0.0,0.0,1.231447870238479,0.0,0.0,1.2314478702384832,2.0,
BB:near_lower,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinVol:1.5x,59,10.775352245012982,5.9,4.875352245012982,33.89830508474576,1.2400165188137826,0.3613007870807914,3.4320891710000603,1.7600457287179798,4.636534006085775,8.542372881355933,
MinVol:2.0x,43,2.3950769310405775,4.3,-1.9049230689594223,34.883720930232556,0.8475143785567901,0.3660080641548186,2.315562036901728,1.2404796626259258,3.3279638937083815,5.930232558139535,
MinVol:2.5x,33,3.354651261787467,3.3000000000000003,0.0546512617874666,33.33333333333333,0.8801818459060976,0.2870275740187662,3.0665410768114922,1.5332705384057461,2.084841254383043,5.787878787878788,
MinVol:3.0x,27,1.3897977888024826,2.7,-1.3102022111975176,33.33333333333333,0.7542625046890605,0.2984346721614377,2.527395691748054,1.2636978458740271,2.5580578518313315,5.222222222222222,
Dynamic SL,129,28.569210118962985,12.9,15.669210118962985,39.53488372093023,1.3047655632228843,0.5168294095244091,2.524557502297597,1.6506722130407365,6.235239481889945,10.147286821705427,
Dynamic TP,128,17.903502620397845,12.8,5.103502620397844,27.34375,1.5411659755045102,0.38744653240705706,3.9777513710855423,1.497003204171978,5.070028761537158,11.5859375,
Dynamic Both,127,11.52150181987426,12.700000000000001,-1.1784981801257413,30.708661417322837,1.5034901284025524,0.5248865195930343,2.864409872001035,1.2694543750913678,8.85654607155439,15.299212598425196,
Trailing SL,134,2.669203883564137,13.4,-10.730796116435863,40.298507462686565,0.5017017644595556,0.30259701779435116,1.6579864802253887,1.1191408741521376,7.330210910387759,3.044776119402985,
SL1.0/TP3.0,132,28.034678302054033,13.200000000000001,14.834678302054032,32.57575757575758,1.1364244744495169,0.2638946034252796,4.306357385482836,2.0805996356827183,2.453226029049887,4.8106060606060606,
SL1.0/TP4.0,130,39.90403464137174,13.0,26.904034641371737,30.76923076923077,1.4424626549065238,0.2572326648527689,5.607618518169687,2.492274896964305,2.9823053145455116,6.484615384615385,
SL1.0/TP5.0,129,31.358966248914697,12.9,18.4589662489147,24.8062015503876,1.6663980143361057,0.2581082514791598,6.456198144717796,2.129879800319273,4.007470140191095,7.844961240310077,
SL1.5/TP4.0,129,32.9152705136199,12.9,20.015270513619903,35.65891472868217,1.3507351202800386,0.3933000985191586,3.434362527153654,1.9033816415550373,4.445100220515085,7.635658914728682,
SL1.5/TP5.0,128,24.987392915057697,12.8,12.187392915057696,29.6875,1.5491808718297744,0.3941361001353789,3.930573401669265,1.6595754362603563,6.751488846187435,9.3671875,
SL1.5/TP6.0,126,20.653823235959592,12.600000000000001,8.053823235959591,25.396825396825395,1.7725746511834588,0.3899020485033885,4.54620502248542,1.5476442629737601,6.439884065633669,11.023809523809524,
SL2.0/TP5.0,127,13.54461109978125,12.700000000000001,0.8446110997812486,30.708661417322837,1.528649468789606,0.5198457721457005,2.940582670279295,1.303212774328324,9.424845173539138,11.535433070866143,
SL2.0/TP6.0,125,9.38623736663881,12.5,-3.1137626333611905,26.400000000000002,1.746076855205652,0.5138305009166169,3.398157275776436,1.2189042402241563,9.12217383976559,13.264,
SL2.0/TP8.0,124,8.545869764013332,12.4,-3.854130235986668,23.387096774193548,1.9885498524827443,0.5072111274654315,3.920556440509622,1.1968014397345164,8.516831172218495,16.427419354838708,
ATR7,127,12.236744083390448,12.700000000000001,-0.4632559166095529,29.92125984251969,1.3805197615118505,0.4498279118814602,3.0689953314316534,1.3103575572404813,6.977745309794252,10.464566929133857,
ATR14,129,32.9152705136199,12.9,20.015270513619903,35.65891472868217,1.3507351202800386,0.3933000985191586,3.434362527153654,1.9033816415550373,4.445100220515085,7.635658914728682,
ATR21,131,31.68879754263412,13.100000000000001,18.58879754263412,33.587786259541986,1.4345278306917033,0.3959359999906761,3.6231305835425047,1.8323878813318415,6.889690579566511,7.221374045801527,
Combo1,61,14.32107001463288,6.1000000000000005,8.221070014632879,40.98360655737705,1.1468093362548533,0.4167543783233352,2.7517631389228296,1.910946624251965,2.793360114315408,7.245901639344262,"{'trend_filter': 'ema20', 'session_filter': (14, 21)}"
Combo2,40,12.12381204320495,4.0,8.12381204320495,32.5,1.6905765854276529,0.37196096374627047,4.545037652340484,2.1883514622380105,2.304438821485754,10.95,"{'trend_filter': 'slope', 'vol_filter': 'high'}"
Combo3,17,0.1832677249094985,1.7000000000000002,-1.5167322750905017,41.17647058823529,0.7681939757480091,0.5154058199807031,1.4904643020460466,1.0433250114322328,2.8855244163001363,4.294117647058823,"{'session_filter': (14, 21), 'volume_filter': 2.0}"
Combo4,127,9.854672230979446,12.700000000000001,-2.845327769020555,29.92125984251969,1.5094331347136372,0.521641350774727,2.893622471592541,1.235479257533894,8.85654607155439,15.291338582677165,"{'trend_filter': 'ema20', 'dynamic_sl': True, 'dynamic_tp': True}"
Combo5,10,-1.899416828576534,1.0,-2.899416828576534,30.0,0.8258136493089462,0.6238785571610762,1.3236769237057355,0.5672901101596008,3.4128388277270494,4.4,"{'trend_filter': 'slope', 'session_filter': (14, 21), 'volume_filter': 1.5}"
Combo6,112,-2.4070080461202963,11.200000000000001,-13.607008046120297,39.285714285714285,0.3686427323605081,0.2723882992706546,1.3533721284929778,0.8757113772601622,8.65986994899806,2.8035714285714284,"{'vol_filter': 'expanding', 'trailing_sl': True}"
Combo7,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'trend_filter': 'ema20', 'bb_filter': 'lower_half'}"
Combo8,65,1.7155485297632396,6.5,-4.78445147023676,50.76923076923077,0.305511417915868,0.260204435010825,1.1741207174395707,1.2108119898595573,3.100193959940838,2.046153846153846,"{'session_filter': (14, 21), 'trailing_sl': True, 'sl_mult': 1.0, 'tp_mult': 5.0}"
Combo9,24,3.2483815463552617,2.4000000000000004,0.8483815463552613,37.5,1.219516721993208,0.5098604668445369,2.391863659366739,1.4351181956200436,2.7251114761733994,9.166666666666666,"{'trend_filter': 'slope', 'vol_filter': 'expanding', 'session_filter': (12, 20)}"
Combo10,58,13.130885453431063,5.800000000000001,7.330885453431062,24.137931034482758,1.6457508446927764,0.2291379319612443,7.182358811596213,2.285295985507886,2.217657867797395,9.293103448275861,"{'trend_filter': 'ema20', 'volume_filter': 1.5, 'sl_mult': 1.0, 'tp_mult': 5.0}"
